Thermal calculator data file
Last updated date: 2016-08-11, 23:02:28

Thermal model: Gringarten equation
Base data
Parameter	Value	Unit	
Specific heat of rock	800	J/kg¡ÆC	
Specific heat of fluid	4178	J/kg¡ÆC	
Rock density	2628	kg/m^3	
Thermal conductivity of rock, k	3.018	W/m¡ÆC	
Initial rock temperature	180	¡ÆC	
Injection fluid temperature	60	¡ÆC	

Variables
Variable	Value	Unit	
Width of fracture	600	m	
Mass flow rate	40	kg/s	
Number of fractures	5		
Fracture spacing	60	m	
Distance from injection	800	m	
Time	30	years	

Calculation results
Outlet fluid temperature	161.67	¡ÆC	
Rock temperature distribution
Z	X	Temperature	
m	m	¡ÆC	
400.00	1.50	109.47	
408.00	1.50	110.87	
416.00	1.50	112.26	
424.00	1.50	113.65	
432.00	1.50	115.03	
440.00	1.50	116.40	
448.00	1.50	117.77	
456.00	1.50	119.13	
464.00	1.50	120.48	
472.00	1.50	121.83	
480.00	1.50	123.16	
488.00	1.50	124.48	
496.00	1.50	125.78	
504.00	1.50	127.08	
512.00	1.50	128.36	
520.00	1.50	129.63	
528.00	1.50	130.88	
536.00	1.50	132.12	
544.00	1.50	133.34	
552.00	1.50	134.55	
560.00	1.50	135.74	
568.00	1.50	136.91	
576.00	1.50	138.06	
584.00	1.50	139.20	
592.00	1.50	140.32	
600.00	1.50	141.42	
608.00	1.50	142.51	
616.00	1.50	143.57	
624.00	1.50	144.62	
632.00	1.50	145.64	
640.00	1.50	146.65	
648.00	1.50	147.64	
656.00	1.50	148.61	
664.00	1.50	149.56	
672.00	1.50	150.49	
680.00	1.50	151.40	
688.00	1.50	152.29	
696.00	1.50	153.16	
704.00	1.50	154.01	
712.00	1.50	154.84	
720.00	1.50	155.66	
728.00	1.50	156.45	
736.00	1.50	157.23	
744.00	1.50	157.98	
752.00	1.50	158.72	
760.00	1.50	159.44	
768.00	1.50	160.14	
776.00	1.50	160.82	
784.00	1.50	161.49	
792.00	1.50	162.13	
800.00	1.50	162.76	
0.00	1.80	60.35	
8.00	1.80	60.60	
16.00	1.80	60.88	
24.00	1.80	61.20	
32.00	1.80	61.55	
40.00	1.80	61.94	
48.00	1.80	62.36	
56.00	1.80	62.82	
64.00	1.80	63.32	
72.00	1.80	63.86	
80.00	1.80	64.43	
88.00	1.80	65.04	
96.00	1.80	65.69	
104.00	1.80	66.37	
112.00	1.80	67.09	
120.00	1.80	67.85	
128.00	1.80	68.64	
136.00	1.80	69.46	
144.00	1.80	70.32	
152.00	1.80	71.22	
160.00	1.80	72.15	
168.00	1.80	73.10	
176.00	1.80	74.09	
184.00	1.80	75.12	
192.00	1.80	76.16	
200.00	1.80	77.24	
208.00	1.80	78.35	
216.00	1.80	79.48	
224.00	1.80	80.64	
232.00	1.80	81.82	
240.00	1.80	83.02	
248.00	1.80	84.24	
256.00	1.80	85.49	
264.00	1.80	86.75	
272.00	1.80	88.03	
280.00	1.80	89.33	
288.00	1.80	90.65	
296.00	1.80	91.97	
304.00	1.80	93.31	
312.00	1.80	94.66	
320.00	1.80	96.03	
328.00	1.80	97.40	
336.00	1.80	98.77	
344.00	1.80	100.16	
352.00	1.80	101.55	
360.00	1.80	102.94	
368.00	1.80	104.34	
376.00	1.80	105.74	
384.00	1.80	107.14	
392.00	1.80	108.54	
400.00	1.80	109.93	
408.00	1.80	111.33	
416.00	1.80	112.72	
424.00	1.80	114.10	
432.00	1.80	115.48	
440.00	1.80	116.86	
448.00	1.80	118.22	
456.00	1.80	119.58	
464.00	1.80	120.93	
472.00	1.80	122.27	
480.00	1.80	123.60	
488.00	1.80	124.91	
496.00	1.80	126.21	
504.00	1.80	127.51	
512.00	1.80	128.78	
520.00	1.80	130.05	
528.00	1.80	131.29	
536.00	1.80	132.53	
544.00	1.80	133.74	
552.00	1.80	134.94	
560.00	1.80	136.13	
568.00	1.80	137.30	
576.00	1.80	138.45	
584.00	1.80	139.58	
592.00	1.80	140.69	
600.00	1.80	141.79	
608.00	1.80	142.86	
616.00	1.80	143.92	
624.00	1.80	144.96	
632.00	1.80	145.98	
640.00	1.80	146.98	
648.00	1.80	147.97	
656.00	1.80	148.93	
664.00	1.80	149.87	
672.00	1.80	150.79	
680.00	1.80	151.70	
688.00	1.80	152.58	
696.00	1.80	153.45	
704.00	1.80	154.29	
712.00	1.80	155.12	
720.00	1.80	155.93	
728.00	1.80	156.71	
736.00	1.80	157.48	
744.00	1.80	158.23	
752.00	1.80	158.96	
760.00	1.80	159.68	
768.00	1.80	160.37	
776.00	1.80	161.05	
784.00	1.80	161.71	
792.00	1.80	162.35	
800.00	1.80	162.97	
0.00	2.10	60.40	
8.00	2.10	60.66	
16.00	2.10	60.96	
24.00	2.10	61.29	
32.00	2.10	61.65	
40.00	2.10	62.05	
48.00	2.10	62.49	
56.00	2.10	62.96	
64.00	2.10	63.47	
72.00	2.10	64.02	
80.00	2.10	64.60	
88.00	2.10	65.23	
96.00	2.10	65.89	
104.00	2.10	66.58	
112.00	2.10	67.31	
120.00	2.10	68.08	
128.00	2.10	68.88	
136.00	2.10	69.72	
144.00	2.10	70.59	
152.00	2.10	71.50	
160.00	2.10	72.44	
168.00	2.10	73.41	
176.00	2.10	74.41	
184.00	2.10	75.44	
192.00	2.10	76.50	
200.00	2.10	77.59	
208.00	2.10	78.70	
216.00	2.10	79.84	
224.00	2.10	81.00	
232.00	2.10	82.19	
240.00	2.10	83.40	
248.00	2.10	84.64	
256.00	2.10	85.89	
264.00	2.10	87.16	
272.00	2.10	88.45	
280.00	2.10	89.75	
288.00	2.10	91.07	
296.00	2.10	92.40	
304.00	2.10	93.74	
312.00	2.10	95.10	
320.00	2.10	96.47	
328.00	2.10	97.84	
336.00	2.10	99.22	
344.00	2.10	100.61	
352.00	2.10	102.00	
360.00	2.10	103.40	
368.00	2.10	104.79	
376.00	2.10	106.19	
384.00	2.10	107.59	
392.00	2.10	108.99	
400.00	2.10	110.39	
408.00	2.10	111.78	
416.00	2.10	113.17	
424.00	2.10	114.56	
432.00	2.10	115.93	
440.00	2.10	117.31	
448.00	2.10	118.67	
456.00	2.10	120.02	
464.00	2.10	121.37	
472.00	2.10	122.71	
480.00	2.10	124.03	
488.00	2.10	125.34	
496.00	2.10	126.64	
504.00	2.10	127.93	
512.00	2.10	129.20	
520.00	2.10	130.46	
528.00	2.10	131.70	
536.00	2.10	132.93	
544.00	2.10	134.14	
552.00	2.10	135.34	
560.00	2.10	136.52	
568.00	2.10	137.68	
576.00	2.10	138.82	
584.00	2.10	139.95	
592.00	2.10	141.06	
600.00	2.10	142.15	
608.00	2.10	143.22	
616.00	2.10	144.27	
624.00	2.10	145.30	
632.00	2.10	146.32	
640.00	2.10	147.31	
648.00	2.10	148.29	
656.00	2.10	149.24	
664.00	2.10	150.18	
672.00	2.10	151.10	
680.00	2.10	152.00	
688.00	2.10	152.87	
696.00	2.10	153.73	
704.00	2.10	154.57	
712.00	2.10	155.39	
720.00	2.10	156.19	
728.00	2.10	156.97	
736.00	2.10	157.74	
744.00	2.10	158.48	
752.00	2.10	159.21	
760.00	2.10	159.91	
768.00	2.10	160.60	
776.00	2.10	161.27	
784.00	2.10	161.93	
792.00	2.10	162.56	
800.00	2.10	163.18	
0.00	2.40	60.46	
8.00	2.40	60.73	
16.00	2.40	61.04	
24.00	2.40	61.38	
32.00	2.40	61.75	
40.00	2.40	62.16	
48.00	2.40	62.61	
56.00	2.40	63.10	
64.00	2.40	63.62	
72.00	2.40	64.18	
80.00	2.40	64.78	
88.00	2.40	65.41	
96.00	2.40	66.08	
104.00	2.40	66.79	
112.00	2.40	67.53	
120.00	2.40	68.31	
128.00	2.40	69.13	
136.00	2.40	69.98	
144.00	2.40	70.86	
152.00	2.40	71.78	
160.00	2.40	72.73	
168.00	2.40	73.71	
176.00	2.40	74.72	
184.00	2.40	75.76	
192.00	2.40	76.83	
200.00	2.40	77.92	
208.00	2.40	79.05	
216.00	2.40	80.20	
224.00	2.40	81.37	
232.00	2.40	82.57	
240.00	2.40	83.79	
248.00	2.40	85.02	
256.00	2.40	86.28	
264.00	2.40	87.56	
272.00	2.40	88.85	
280.00	2.40	90.16	
288.00	2.40	91.49	
296.00	2.40	92.82	
304.00	2.40	94.17	
312.00	2.40	95.53	
320.00	2.40	96.90	
328.00	2.40	98.28	
336.00	2.40	99.66	
344.00	2.40	101.05	
352.00	2.40	102.45	
360.00	2.40	103.84	
368.00	2.40	105.24	
376.00	2.40	106.64	
384.00	2.40	108.04	
392.00	2.40	109.44	
400.00	2.40	110.84	
408.00	2.40	112.23	
416.00	2.40	113.62	
424.00	2.40	115.00	
432.00	2.40	116.38	
440.00	2.40	117.75	
448.00	2.40	119.11	
456.00	2.40	120.46	
464.00	2.40	121.81	
472.00	2.40	123.14	
480.00	2.40	124.46	
488.00	2.40	125.77	
496.00	2.40	127.06	
504.00	2.40	128.35	
512.00	2.40	129.61	
520.00	2.40	130.87	
528.00	2.40	132.11	
536.00	2.40	133.33	
544.00	2.40	134.54	
552.00	2.40	135.73	
560.00	2.40	136.90	
568.00	2.40	138.06	
576.00	2.40	139.20	
584.00	2.40	140.32	
592.00	2.40	141.42	
600.00	2.40	142.50	
608.00	2.40	143.57	
616.00	2.40	144.62	
624.00	2.40	145.64	
632.00	2.40	146.65	
640.00	2.40	147.64	
648.00	2.40	148.61	
656.00	2.40	149.56	
664.00	2.40	150.49	
672.00	2.40	151.40	
680.00	2.40	152.29	
688.00	2.40	153.16	
696.00	2.40	154.01	
704.00	2.40	154.85	
712.00	2.40	155.66	
720.00	2.40	156.46	
728.00	2.40	157.23	
736.00	2.40	157.99	
744.00	2.40	158.73	
752.00	2.40	159.44	
760.00	2.40	160.15	
768.00	2.40	160.83	
